Area_Name	Year	Group_Name	Cases_Convicted	Cases_Reported
Andhra Pradesh	2007	Rape	128	1070
Arunachal Pradesh	2007	Rape	5	48
Assam	2007	Rape	191	1437
Bihar	2007	Rape	167	1555
Chandigarh	2007	Rape	11	22
Chhattisgarh	2007	Rape	162	982
Dadra & Nagar Haveli	2007	Rape	0	7
Daman & Diu	2007	Rape	0	1
Delhi	2007	Rape	163	598
Goa	2007	Rape	1	20
Gujarat	2007	Rape	50	316
Haryana	2007	Rape	114	488
Himachal Pradesh	2007	Rape	14	159
Jammu & Kashmir	2007	Rape	8	288
Jharkhand	2007	Rape	318	855
Karnataka	2007	Rape	59	436
Kerala	2007	Rape	74	512
Lakshadweep	2007	Rape	0	1
Madhya Pradesh	2007	Rape	688	3010
Maharashtra	2007	Rape	151	1451
Manipur	2007	Rape	0	20
Meghalaya	2007	Rape	8	82
Mizoram	2007	Rape	28	83
Nagaland	2007	Rape	26	13
Odisha	2007	Rape	175	939
Puducherry	2007	Rape	4	9
Punjab	2007	Rape	76	519
Rajasthan	2007	Rape	236	1238
Sikkim	2007	Rape	0	24
Tamil Nadu	2007	Rape	87	523
Tripura	2007	Rape	30	157
Uttar Pradesh	2007	Rape	573	1648
Uttarakhand	2007	Rape	48	117
West Bengal	2007	Rape	101	2106
Andaman & Nicobar Islands	2008	Rape	0	12
Andhra Pradesh	2008	Rape	100	1257
Arunachal Pradesh	2008	Rape	1	42
Assam	2008	Rape	94	1438
Bihar	2008	Rape	168	1302
Chandigarh	2008	Rape	5	20
Chhattisgarh	2008	Rape	206	978
Dadra & Nagar Haveli	2008	Rape	0	6
Daman & Diu	2008	Rape	0	0
Delhi	2008	Rape	115	466
Goa	2008	Rape	6	30
Gujarat	2008	Rape	48	374
Haryana	2008	Rape	128	631
Himachal Pradesh	2008	Rape	29	157
Jammu & Kashmir	2008	Rape	10	219
Jharkhand	2008	Rape	136	791
Karnataka	2008	Rape	45	446
Kerala	2008	Rape	38	568
Lakshadweep	2008	Rape	1	2
Madhya Pradesh	2008	Rape	839	2937
Maharashtra	2008	Rape	160	1558
Manipur	2008	Rape	0	38
Meghalaya	2008	Rape	11	88
Mizoram	2008	Rape	85	77
Nagaland	2008	Rape	13	19
Odisha	2008	Rape	159	1113
Puducherry	2008	Rape	0	8
Punjab	2008	Rape	149	517
Rajasthan	2008	Rape	232	1355
Sikkim	2008	Rape	5	20
Tamil Nadu	2008	Rape	109	573
Tripura	2008	Rape	23	204
Uttar Pradesh	2008	Rape	681	1871
Uttarakhand	2008	Rape	39	87
West Bengal	2008	Rape	138	2263
Andaman & Nicobar Islands	2009	Rape	1	18
Andhra Pradesh	2009	Rape	118	1188
Arunachal Pradesh	2009	Rape	3	59
Assam	2009	Rape	128	1631
Bihar	2009	Rape	178	929
Chandigarh	2009	Rape	16	29
Chhattisgarh	2009	Rape	219	976
Dadra & Nagar Haveli	2009	Rape	1	4
Daman & Diu	2009	Rape	0	1
Delhi	2009	Rape	178	469
Goa	2009	Rape	7	47
Gujarat	2009	Rape	33	433
Haryana	2009	Rape	125	603
Himachal Pradesh	2009	Rape	29	183
Jammu & Kashmir	2009	Rape	12	237
Jharkhand	2009	Rape	294	719
Karnataka	2009	Rape	33	509
Kerala	2009	Rape	53	568
Lakshadweep	2009	Rape	0	1
Madhya Pradesh	2009	Rape	562	2998
Maharashtra	2009	Rape	182	1483
Manipur	2009	Rape	0	31
Meghalaya	2009	Rape	7	112
Mizoram	2009	Rape	58	83
Nagaland	2009	Rape	10	22
Odisha	2009	Rape	146	1023
Puducherry	2009	Rape	4	1
Punjab	2009	Rape	158	511
Rajasthan	2009	Rape	221	1519
Sikkim	2009	Rape	5	18
Tamil Nadu	2009	Rape	91	596
Tripura	2009	Rape	24	190
Uttar Pradesh	2009	Rape	623	1759
Uttarakhand	2009	Rape	49	111
West Bengal	2009	Rape	130	2336
Andaman & Nicobar Islands	2010	Rape	0	24
Andhra Pradesh	2010	Rape	141	1362
Arunachal Pradesh	2010	Rape	4	47
Assam	2010	Rape	95	1721
Bihar	2010	Rape	227	795
Chandigarh	2010	Rape	14	31
Chhattisgarh	2010	Rape	204	1012
Dadra & Nagar Haveli	2010	Rape	2	3
Daman & Diu	2010	Rape	0	1
Delhi	2010	Rape	141	507
Goa	2010	Rape	5	36
Gujarat	2010	Rape	33	408
Haryana	2010	Rape	113	720
Himachal Pradesh	2010	Rape	21	160
Jammu & Kashmir	2010	Rape	3	245
Jharkhand	2010	Rape	171	773
Karnataka	2010	Rape	54	586
Kerala	2010	Rape	45	634
Lakshadweep	2010	Rape	0	0
Madhya Pradesh	2010	Rape	777	3135
Maharashtra	2010	Rape	146	1599
Manipur	2010	Rape	1	34
Meghalaya	2010	Rape	4	149
Mizoram	2010	Rape	84	92
Nagaland	2010	Rape	14	16
Odisha	2010	Rape	132	1025
Puducherry	2010	Rape	1	3
Punjab	2010	Rape	166	546
Rajasthan	2010	Rape	202	1571
Sikkim	2010	Rape	2	18
Tamil Nadu	2010	Rape	105	686
Tripura	2010	Rape	28	238
Uttar Pradesh	2010	Rape	705	1563
Uttarakhand	2010	Rape	58	121
West Bengal	2010	Rape	90	2311
Andaman & Nicobar Islands	2001	Kidnapping & Abduction - Women & Girls	0	2
Andhra Pradesh	2001	Kidnapping & Abduction - Women & Girls	30	765
Arunachal Pradesh	2001	Kidnapping & Abduction - Women & Girls	4	55
Assam	2001	Kidnapping & Abduction - Women & Girls	64	1070
Bihar	2001	Kidnapping & Abduction - Women & Girls	76	518
Chandigarh	2001	Kidnapping & Abduction - Women & Girls	1	50
Chhattisgarh	2001	Kidnapping & Abduction - Women & Girls	17	171
Dadra & Nagar Haveli	2001	Kidnapping & Abduction - Women & Girls	0	2
Daman & Diu	2001	Kidnapping & Abduction - Women & Girls	0	3
Delhi	2001	Kidnapping & Abduction - Women & Girls	433	964
Goa	2001	Kidnapping & Abduction - Women & Girls	5	6
Gujarat	2001	Kidnapping & Abduction - Women & Girls	25	857
Haryana	2001	Kidnapping & Abduction - Women & Girls	36	297
Himachal Pradesh	2001	Kidnapping & Abduction - Women & Girls	3	105
Jammu & Kashmir	2001	Kidnapping & Abduction - Women & Girls	0	504
Jharkhand	2001	Kidnapping & Abduction - Women & Girls	33	279
Karnataka	2001	Kidnapping & Abduction - Women & Girls	8	271
Kerala	2001	Kidnapping & Abduction - Women & Girls	3	97
Lakshadweep	2001	Kidnapping & Abduction - Women & Girls	0	0
Madhya Pradesh	2001	Kidnapping & Abduction - Women & Girls	74	668
Maharashtra	2001	Kidnapping & Abduction - Women & Girls	32	611
Manipur	2001	Kidnapping & Abduction - Women & Girls	0	62
Meghalaya	2001	Kidnapping & Abduction - Women & Girls	0	11
Mizoram	2001	Kidnapping & Abduction - Women & Girls	3	1
Nagaland	2001	Kidnapping & Abduction - Women & Girls	1	6
Odisha	2001	Kidnapping & Abduction - Women & Girls	41	434
Puducherry	2001	Kidnapping & Abduction - Women & Girls	1	3
Punjab	2001	Kidnapping & Abduction - Women & Girls	19	324
Rajasthan	2001	Kidnapping & Abduction - Women & Girls	187	2165
Sikkim	2001	Kidnapping & Abduction - Women & Girls	0	2
Tamil Nadu	2001	Kidnapping & Abduction - Women & Girls	60	607
Tripura	2001	Kidnapping & Abduction - Women & Girls	2	35
Uttar Pradesh	2001	Kidnapping & Abduction - Women & Girls	789	2879
Uttarakhand	2001	Kidnapping & Abduction - Women & Girls	38	126
West Bengal	2001	Kidnapping & Abduction - Women & Girls	18	695
Andaman & Nicobar Islands	2002	Kidnapping & Abduction - Women & Girls	0	1
Andhra Pradesh	2002	Kidnapping & Abduction - Women & Girls	28	854
Arunachal Pradesh	2002	Kidnapping & Abduction - Women & Girls	0	38
Assam	2002	Kidnapping & Abduction - Women & Girls	65	1276
Bihar	2002	Kidnapping & Abduction - Women & Girls	81	744
Chandigarh	2002	Kidnapping & Abduction - Women & Girls	4	47
Chhattisgarh	2002	Kidnapping & Abduction - Women & Girls	39	154
Dadra & Nagar Haveli	2002	Kidnapping & Abduction - Women & Girls	0	5
Daman & Diu	2002	Kidnapping & Abduction - Women & Girls	0	2
Delhi	2002	Kidnapping & Abduction - Women & Girls	25	893
Goa	2002	Kidnapping & Abduction - Women & Girls	0	5
Gujarat	2002	Kidnapping & Abduction - Women & Girls	38	807
Haryana	2002	Kidnapping & Abduction - Women & Girls	53	290
Himachal Pradesh	2002	Kidnapping & Abduction - Women & Girls	9	116
Jammu & Kashmir	2002	Kidnapping & Abduction - Women & Girls	3	596
